职位名称,发布者,发布时间,工作地点,工作年限要求,学历,爬虫时间,薪水范围
大鱼号-算法/机器学习研发工程师,余静琼招聘专员,2018-05-08,北京,3-5年,本科,2018-07-08 19:16:20,18k-35k
前端开发工程师,CathyHR,2018-06-11,北京,3-5年,本科,2018-07-08 19:16:20,20k-30k
UC事业部-前端开发专家-业务平台,CathyHR,2018-06-01,广州,3-5年,本科,2018-07-08 19:16:20,20k-30k
高级数据分析师,余静琼招聘专员,2018-03-24,广州,1-3年,本科,2018-07-08 19:16:20,5k-10k
UC事业部-高级数据研发工程师-基础研发部,CathyHR,2018-06-01,广州,3-5年,本科,2018-07-08 19:16:20,20k-30k
UC事业部-Java高级开发工程师-运营业务,CathyHR,2018-06-01,广州,3-5年,本科,2018-07-08 19:16:20,20k-30k
外贸经理,聂晶经理,2018-03-23,上海,不限,不限,2018-07-08 19:16:20,4k-8k
产品经理-算法模型/机器学习方向-广州,余静琼招聘专员,2018-05-07,广州,3-5年,本科,2018-07-08 19:16:20,15k-30k
阿里移动 - UC头条前端技术专家,余静琼招聘专员,2018-05-02,广州,3-5年,本科,2018-07-08 19:16:20,20k-35k
UC事业群-Java高级开发工程师-运营业务,余静琼招聘专员,2018-04-12,广州,3-5年,本科,2018-07-08 19:16:20,18k-35k
国内UC-前端专家-广州 （客户端）,余静琼招聘专员,2018-04-04,广州,3-5年,本科,2018-07-08 19:16:20,15k-25k
UC事业群-iOS开发专家,余静琼招聘专员,2018-06-25,广州,3-5年,本科,2018-07-08 19:16:20,14k-25k
UC事业群-高级前端专家-广州（活动运营）,余静琼招聘专员,2018-04-04,广州,3-5年,本科,2018-07-08 19:16:20,15k-25k
UC事业群-前端技术专家-国际自媒体平台,余静琼招聘专员,2018-03-19,广州,3-5年,本科,2018-07-08 19:16:20,15k-30k
基础研发部-资深前端开发工程师-广州,余静琼招聘专员,2018-03-24,广州,3-5年,本科,2018-07-08 19:16:20,15k-16k
国内UC-Java/C++高级技术专家-UC头条,余静琼招聘专员,2018-04-09,广州,5-10年,本科,2018-07-08 19:16:20,20k-40k
计算机视觉CV/深度学习DL研发专家-广州,余静琼招聘专员,2018-03-07,广州,1-3年,本科,2018-07-08 19:16:20,12k-24k
基础研发部-高级多媒体互动专家,余静琼招聘专员,2018-03-24,广州,不限,本科,2018-07-08 19:16:20,20k-40k
基础研发部-播放器研发专家-广州,余静琼招聘专员,2017-12-13,广州,不限,本科,2018-07-08 19:16:20,12k-24k
交易猫团队管理（仲裁+服务商管理）,余静琼招聘专员,2018-03-24,广州,3-5年,大专,2018-07-08 19:16:20,6k-8k
外贸业务员,聂晶经理,2018-03-22,上海,不限,大专,2018-07-08 19:16:20,5k-10k
外贸业务员,聂晶经理,2018-03-23,上海,不限,大专,2018-07-08 19:16:20,6k-12k
Android技术专家-逆向方向,史美娜HR,2017-11-01,广州,3-5年,本科,2018-07-08 19:16:20,20k-21k
Ucnews产品经理(专场）,陈子运产品专家,2017-08-02,广州,3-5年,本科,2018-07-08 19:16:20,15k-30k
Ucnews产品经理(专场）,左飞产品总监,2017-08-02,广州,3-5年,本科,2018-07-08 19:16:20,15k-30k
UC-短视频标签和质量体系,家文产品负责人,2018-05-24,广州,5-10年,本科,2018-07-08 19:16:21,15k-30k
UC事业部-高级前端专家-活动运营,CathyHR,2018-06-01,广州,3-5年,本科,2018-07-08 19:16:21,20k-30k
UC事业部-云端多媒体算法工程师-图像方向,CathyHR,2018-06-01,广州,3-5年,本科,2018-07-08 19:16:21,20k-30k
UC事业部-测试开发专家-业务平台,CathyHR,2018-06-01,广州,3-5年,本科,2018-07-08 19:16:21,18k-30k
战略支持专家,史美娜HR,2018-03-08,广州,5-10年,本科,2018-07-08 19:16:21,25k-26k
资深前端工程师,罗志强前端开发专家,2018-03-24,广州,3-5年,大专,2018-07-08 19:16:21,20k-30k
阿里移动国际-前端开发专家,周子文前端主管,2017-10-24,广州,3-5年,本科,2018-07-08 19:16:21,16k-32k
数据研发专家,史美娜HR,2018-03-06,广州,3-5年,本科,2018-07-08 19:16:21,20k-21k
Android技术专家-apk安全方向,史美娜HR,2017-08-31,广州,3-5年,本科,2018-07-08 19:16:21,20k-21k
Android技术专家-视频处理方向,史美娜HR,2017-08-31,广州,3-5年,本科,2018-07-08 19:16:21,20k-21k
Java开发专家,史美娜HR,2017-08-31,广州,3-5年,本科,2018-07-08 19:16:21,20k-21k
数据分析专家,史美娜HR,2018-03-06,广州,3-5年,本科,2018-07-08 19:16:21,15k-30k
海外浏览器数据产品专家,史美娜HR,2018-05-19,广州,5-10年,本科,2018-07-08 19:16:21,25k-45k
资深Java工程师,莫仕豪资深工程师,2018-06-20,广州,3-5年,本科,2018-07-08 19:16:21,15k-25k
资深前端工程师/前端专家,周子文前端主管,2017-08-22,广州,3-5年,本科,2018-07-08 19:16:21,15k-20k
国际推广平台产品负责人,史美娜HR,2018-05-19,广州,5-10年,本科,2018-07-08 19:16:21,20k-21k
高级产品运营专家/业务负责人,史美娜HR,2018-05-19,广州,3-5年,本科,2018-07-08 19:16:21,20k-21k
客户端产品负责人,史美娜HR,2018-05-19,广州,3-5年,本科,2018-07-08 19:16:21,20k-21k
UCnews产品经理方向(专场）,范文产品总监,2017-08-21,广州,3-5年,本科,2018-07-08 19:16:21,20k-30k
UCnews产品经理(专场）,潘岚高级内容运营专家,2018-06-14,广州,3-5年,本科,2018-07-08 19:16:21,15k-30k
UCnews算法产品经理(专场）,潘岚高级内容运营专家,2018-05-28,广州,3-5年,本科,2018-07-08 19:16:21,15k-30k
UCnews算法产品经理(专场）,陈子运产品专家,2017-08-02,广州,3-5年,本科,2018-07-08 19:16:21,15k-30k
UCnews算法产品经理(专场）,左飞产品总监,2018-03-06,广州,3-5年,本科,2018-07-08 19:16:21,15k-30k
UC-内容平台端外流量负责人,家文产品负责人,2018-03-06,广州,3-5年,本科,2018-07-08 19:16:21,15k-30k
国际推广运营高级经理,史美娜HR,2018-03-13,广州,5-10年,本科,2018-07-08 19:16:21,20k-21k
高级产品运营专家/游戏业务,史美娜HR,2018-05-19,广州,3-5年,本科,2018-07-08 19:16:21,20k-21k
海外浏览器业务用户增长负责人（总监）,史美娜HR,2018-05-31,广州,5-10年,本科,2018-07-08 19:16:21,30k-50k
海外浏览器内容运营总监,史美娜HR,2018-03-07,广州,5-10年,本科,2018-07-08 19:16:21,30k-50k
